customer,income,mailer,purchase,visits_so_far,week
0,39,0,0,0,0
0,39,0,0,0.693147181,1
0,39,1,0,0.693147181,2
0,39,1,1,0.693147181,3
0,39,0,0,1.098612289,4
0,39,1,1,1.386294361,5
0,39,0,0,1.386294361,6
0,39,0,0,1.609437912,7
0,39,0,0,1.791759469,8
0,39,0,0,1.791759469,9
0,39,1,0,1.791759469,10
0,39,0,0,1.791759469,11
0,39,0,0,1.791759469,12
0,39,1,0,1.945910149,13
0,39,0,1,2.079441542,14
0,39,0,1,2.079441542,15
0,39,0,0,2.197224577,16
0,39,0,0,2.197224577,17
0,39,0,0,2.302585093,18
0,39,1,0,2.302585093,19
0,39,0,0,2.302585093,20
0,39,0,0,2.397895273,21
0,39,0,1,2.48490665,22
0,39,0,0,2.48490665,23
0,39,0,0,2.48490665,24
0,39,1,1,2.48490665,25
0,39,0,1,2.564949357,26
0,39,0,0,2.564949357,27
0,39,1,1,2.564949357,28
0,39,0,0,2.63905733,29
0,39,0,0,2.63905733,30
0,39,0,1,2.63905733,31
0,39,0,1,2.708050201,32
0,39,0,0,2.772588722,33
0,39,0,1,2.772588722,34
0,39,0,1,2.833213344,35
0,39,0,0,2.890371758,36
0,39,0,1,2.890371758,37
0,39,0,0,2.890371758,38
0,39,0,0,2.944438979,39
0,39,0,0,2.944438979,40
0,39,0,1,2.995732274,41
0,39,0,0,2.995732274,42
0,39,0,1,3.044522438,43
0,39,0,0,3.044522438,44
0,39,0,1,3.044522438,45
0,39,0,0,3.091042453,46
0,39,0,0,3.135494216,47
0,39,0,0,3.135494216,48
0,39,0,1,3.17805383,49
1,46,0,1,0,0
1,46,0,0,0.693147181,1
1,46,0,0,0.693147181,2
1,46,0,0,0.693147181,3
1,46,0,0,0.693147181,4
1,46,0,0,0.693147181,5
1,46,0,0,0.693147181,6
1,46,0,0,0.693147181,7
1,46,0,0,0.693147181,8
1,46,0,1,0.693147181,9
1,46,0,0,0.693147181,10
1,46,0,0,0.693147181,11
1,46,0,0,1.098612289,12
1,46,0,1,1.098612289,13
1,46,1,1,1.098612289,14
1,46,0,0,1.098612289,15
1,46,0,1,1.098612289,16
1,46,0,1,1.386294361,17
1,46,0,0,1.386294361,18
1,46,0,0,1.386294361,19
1,46,0,0,1.386294361,20
1,46,0,0,1.386294361,21
1,46,0,0,1.386294361,22
1,46,1,0,1.386294361,23
1,46,0,0,1.386294361,24
1,46,0,1,1.609437912,25
1,46,1,1,1.609437912,26
1,46,0,0,1.609437912,27
1,46,0,0,1.609437912,28
1,46,0,0,1.609437912,29
1,46,0,0,1.609437912,30
1,46,0,1,1.791759469,31
1,46,0,1,1.791759469,32
1,46,0,1,1.791759469,33
1,46,0,1,1.791759469,34
1,46,1,0,1.791759469,35
1,46,0,0,1.791759469,36
1,46,0,0,1.791759469,37
1,46,0,0,1.791759469,38
1,46,0,0,1.791759469,39
1,46,0,0,1.791759469,40
